titulo,autor,tipo,paginas,capitulos,finalizado
El aleph,Jorge Luis Borges,cuentos,146,17,2025
Dededede #1,Inio Asano,manga,208,9,2025
Palabras radiantes,Brandon Sanderson,novela,1088,89,2024
La Comunidad del Anillo,J.R.R. Tolkien,novela,426,62,2024
Crimen y castigo,Fiódor Dostoyevski,novela,671,38,2025
La llamada de Cthulhu y otros cuentos,H.P. Lovecraft,cuentos,420,15,2025
Solanin,Inio Asano,manga,432,28,2025
Batman: Año Uno,Frank Miller,comic,144,4,2025
Watchmen,Alan Moore,comic,416,12,2025
The Naked Sun,Asimov,novela,269,12,2024
Roadside Picnic,Boris Strugatsky,novela,210,15,2024
El imperio final,Brandon Sanderson,novela,663,39,2025
