fecha,tipo,sesiones,paginas_leidas
2023-11-01,novela,1,49.0
2023-11-05,novela,1,59.0
2024-01-03,novela,1,55.0
2024-01-08,novela,1,34.0
2024-01-13,novela,1,58.0
2024-01-14,novela,1,49.0
2024-02-04,novela,1,51.0
2024-02-05,novela,1,38.0
2024-02-23,novela,1,33.0
2024-02-28,novela,1,113.0
2024-03-17,novela,1,79.0
2024-04-02,novela,1,65.0
2024-04-12,novela,1,55.0
2024-04-19,novela,1,122.0
2024-04-26,novela,1,120.0
2024-04-27,novela,1,106.0
2024-05-13,novela,1,71.0
2024-05-16,novela,1,47.0
2024-05-22,novela,1,48.0
2024-05-27,novela,1,91.0
2024-05-31,novela,1,81.0
2024-07-03,novela,1,100.0
2024-07-13,novela,1,78.0
2024-07-14,novela,1,52.0
2024-07-19,novela,1,72.0
2024-07-25,novela,1,40.0
2024-07-26,novela,1,106.0
2024-07-27,novela,1,45.0
2024-07-28,novela,1,115.0
2024-07-30,novela,1,72.0
2024-08-07,novela,1,79.0
2024-10-19,manga,1,33.0
2024-11-05,novela,1,2.0
2024-11-13,manga,1,31.0
2024-11-14,manga,1,28.0
2025-01-05,novela,1,94.0
2025-01-13,novela,1,103.0
2025-01-14,novela,1,114.0
2025-01-20,novela,1,69.0
2025-01-22,novela,1,83.0
2025-01-28,novela,1,99.0
2025-01-31,manga,1,25.0
2025-02-11,comic,1,15.0
2025-02-12,novela,1,132.0
2025-03-03,comic,1,22.0
2025-03-12,comic,1,40.0
2025-03-23,comic,1,36.0
2025-04-06,comic,1,38.0
2025-04-11,comic,1,13.0
2025-04-20,comic,1,12.0
2025-05-09,comic,1,8.0
2025-05-15,comic,1,13.0
2025-05-20,manga,1,34.0
2025-06-02,comic,1,25.0
2025-06-08,comic,1,13.0
2025-06-24,comic,1,9.0
2025-06-26,novela,1,95.0
2025-06-28,comic,1,30.0
2025-07-15,comic,1,39.0
2025-07-15,novela,1,21.0
2025-07-24,comic,1,46.0
2025-09-11,cuentos,1,21.0
2025-09-29,cuentos,1,22.0
2025-10-06,cuentos,1,23.0
2025-10-27,cuentos,1,20.0
2025-10-30,cuentos,1,13.0
2025-11-09,cuentos,1,18.0
