fecha,tipo,sesiones,paginas_leidas
2023-11-01,comic,0,0
2023-11-01,cuentos,0,0
2023-11-01,manga,0,0
2023-11-01,novela,1,49
2023-11-02,comic,0,0
2023-11-02,cuentos,0,0
2023-11-02,manga,0,0
2023-11-02,novela,0,0
2023-11-03,comic,0,0
2023-11-03,cuentos,0,0
2023-11-03,manga,0,0
2023-11-03,novela,0,0
2023-11-04,comic,0,0
2023-11-04,cuentos,0,0
2023-11-04,manga,0,0
2023-11-04,novela,0,0
2023-11-05,comic,0,0
2023-11-05,cuentos,0,0
2023-11-05,manga,0,0
2023-11-05,novela,1,59
2023-11-06,comic,0,0
2023-11-06,cuentos,0,0
2023-11-06,manga,0,0
2023-11-06,novela,0,0
2023-11-07,comic,0,0
2023-11-07,cuentos,0,0
2023-11-07,manga,0,0
2023-11-07,novela,0,0
2023-11-08,comic,0,0
2023-11-08,cuentos,0,0
2023-11-08,manga,0,0
2023-11-08,novela,0,0
2023-11-09,comic,0,0
2023-11-09,cuentos,0,0
2023-11-09,manga,0,0
2023-11-09,novela,0,0
2023-11-10,comic,0,0
2023-11-10,cuentos,0,0
2023-11-10,manga,0,0
2023-11-10,novela,0,0
2023-11-11,comic,0,0
2023-11-11,cuentos,0,0
2023-11-11,manga,0,0
2023-11-11,novela,0,0
2023-11-12,comic,0,0
2023-11-12,cuentos,0,0
2023-11-12,manga,0,0
2023-11-12,novela,0,0
2023-11-13,comic,0,0
2023-11-13,cuentos,0,0
2023-11-13,manga,0,0
2023-11-13,novela,0,0
2023-11-14,comic,0,0
2023-11-14,cuentos,0,0
2023-11-14,manga,0,0
2023-11-14,novela,0,0
2023-11-15,comic,0,0
2023-11-15,cuentos,0,0
2023-11-15,manga,0,0
2023-11-15,novela,0,0
2023-11-16,comic,0,0
2023-11-16,cuentos,0,0
2023-11-16,manga,0,0
2023-11-16,novela,0,0
2023-11-17,comic,0,0
2023-11-17,cuentos,0,0
2023-11-17,manga,0,0
2023-11-17,novela,0,0
2023-11-18,comic,0,0
2023-11-18,cuentos,0,0
2023-11-18,manga,0,0
2023-11-18,novela,0,0
2023-11-19,comic,0,0
2023-11-19,cuentos,0,0
2023-11-19,manga,0,0
2023-11-19,novela,0,0
2023-11-20,comic,0,0
2023-11-20,cuentos,0,0
2023-11-20,manga,0,0
2023-11-20,novela,0,0
2023-11-21,comic,0,0
2023-11-21,cuentos,0,0
2023-11-21,manga,0,0
2023-11-21,novela,0,0
2023-11-22,comic,0,0
2023-11-22,cuentos,0,0
2023-11-22,manga,0,0
2023-11-22,novela,0,0
2023-11-23,comic,0,0
2023-11-23,cuentos,0,0
2023-11-23,manga,0,0
2023-11-23,novela,0,0
2023-11-24,comic,0,0
2023-11-24,cuentos,0,0
2023-11-24,manga,0,0
2023-11-24,novela,0,0
2023-11-25,comic,0,0
2023-11-25,cuentos,0,0
2023-11-25,manga,0,0
2023-11-25,novela,0,0
2023-11-26,comic,0,0
2023-11-26,cuentos,0,0
2023-11-26,manga,0,0
2023-11-26,novela,0,0
2023-11-27,comic,0,0
2023-11-27,cuentos,0,0
2023-11-27,manga,0,0
2023-11-27,novela,0,0
2023-11-28,comic,0,0
2023-11-28,cuentos,0,0
2023-11-28,manga,0,0
2023-11-28,novela,0,0
2023-11-29,comic,0,0
2023-11-29,cuentos,0,0
2023-11-29,manga,0,0
2023-11-29,novela,0,0
2023-11-30,comic,0,0
2023-11-30,cuentos,0,0
2023-11-30,manga,0,0
2023-11-30,novela,0,0
2023-12-01,comic,0,0
2023-12-01,cuentos,0,0
2023-12-01,manga,0,0
2023-12-01,novela,0,0
2023-12-02,comic,0,0
2023-12-02,cuentos,0,0
2023-12-02,manga,0,0
2023-12-02,novela,0,0
2023-12-03,comic,0,0
2023-12-03,cuentos,0,0
2023-12-03,manga,0,0
2023-12-03,novela,0,0
2023-12-04,comic,0,0
2023-12-04,cuentos,0,0
2023-12-04,manga,0,0
2023-12-04,novela,0,0
2023-12-05,comic,0,0
2023-12-05,cuentos,0,0
2023-12-05,manga,0,0
2023-12-05,novela,0,0
2023-12-06,comic,0,0
2023-12-06,cuentos,0,0
2023-12-06,manga,0,0
2023-12-06,novela,0,0
2023-12-07,comic,0,0
2023-12-07,cuentos,0,0
2023-12-07,manga,0,0
2023-12-07,novela,0,0
2023-12-08,comic,0,0
2023-12-08,cuentos,0,0
2023-12-08,manga,0,0
2023-12-08,novela,0,0
2023-12-09,comic,0,0
2023-12-09,cuentos,0,0
2023-12-09,manga,0,0
2023-12-09,novela,0,0
2023-12-10,comic,0,0
2023-12-10,cuentos,0,0
2023-12-10,manga,0,0
2023-12-10,novela,0,0
2023-12-11,comic,0,0
2023-12-11,cuentos,0,0
2023-12-11,manga,0,0
2023-12-11,novela,0,0
2023-12-12,comic,0,0
2023-12-12,cuentos,0,0
2023-12-12,manga,0,0
2023-12-12,novela,0,0
2023-12-13,comic,0,0
2023-12-13,cuentos,0,0
2023-12-13,manga,0,0
2023-12-13,novela,0,0
2023-12-14,comic,0,0
2023-12-14,cuentos,0,0
2023-12-14,manga,0,0
2023-12-14,novela,0,0
2023-12-15,comic,0,0
2023-12-15,cuentos,0,0
2023-12-15,manga,0,0
2023-12-15,novela,0,0
2023-12-16,comic,0,0
2023-12-16,cuentos,0,0
2023-12-16,manga,0,0
2023-12-16,novela,0,0
2023-12-17,comic,0,0
2023-12-17,cuentos,0,0
2023-12-17,manga,0,0
2023-12-17,novela,0,0
2023-12-18,comic,0,0
2023-12-18,cuentos,0,0
2023-12-18,manga,0,0
2023-12-18,novela,0,0
2023-12-19,comic,0,0
2023-12-19,cuentos,0,0
2023-12-19,manga,0,0
2023-12-19,novela,0,0
2023-12-20,comic,0,0
2023-12-20,cuentos,0,0
2023-12-20,manga,0,0
2023-12-20,novela,0,0
2023-12-21,comic,0,0
2023-12-21,cuentos,0,0
2023-12-21,manga,0,0
2023-12-21,novela,0,0
2023-12-22,comic,0,0
2023-12-22,cuentos,0,0
2023-12-22,manga,0,0
2023-12-22,novela,0,0
2023-12-23,comic,0,0
2023-12-23,cuentos,0,0
2023-12-23,manga,0,0
2023-12-23,novela,0,0
2023-12-24,comic,0,0
2023-12-24,cuentos,0,0
2023-12-24,manga,0,0
2023-12-24,novela,0,0
2023-12-25,comic,0,0
2023-12-25,cuentos,0,0
2023-12-25,manga,0,0
2023-12-25,novela,0,0
2023-12-26,comic,0,0
2023-12-26,cuentos,0,0
2023-12-26,manga,0,0
2023-12-26,novela,0,0
2023-12-27,comic,0,0
2023-12-27,cuentos,0,0
2023-12-27,manga,0,0
2023-12-27,novela,0,0
2023-12-28,comic,0,0
