semana,tipo,sesiones,paginas_leidas
2023-10-30,comic,0,0
2023-10-30,cuentos,0,0
2023-10-30,manga,0,0
2023-10-30,novela,2,108
2023-11-06,comic,0,0
2023-11-06,cuentos,0,0
2023-11-06,manga,0,0
2023-11-06,novela,0,0
2023-11-13,comic,0,0
2023-11-13,cuentos,0,0
2023-11-13,manga,0,0
2023-11-13,novela,0,0
2023-11-20,comic,0,0
2023-11-20,cuentos,0,0
2023-11-20,manga,0,0
2023-11-20,novela,0,0
2023-11-27,comic,0,0
2023-11-27,cuentos,0,0
2023-11-27,manga,0,0
2023-11-27,novela,0,0
2023-12-04,comic,0,0
2023-12-04,cuentos,0,0
2023-12-04,manga,0,0
2023-12-04,novela,0,0
2023-12-11,comic,0,0
2023-12-11,cuentos,0,0
2023-12-11,manga,0,0
2023-12-11,novela,0,0
2023-12-18,comic,0,0
2023-12-18,cuentos,0,0
2023-12-18,manga,0,0
2023-12-18,novela,0,0
2023-12-25,comic,0,0
2023-12-25,cuentos,0,0
2023-12-25,manga,0,0
2023-12-25,novela,0,0
2024-01-01,comic,0,0
2024-01-01,cuentos,0,0
2024-01-01,manga,0,0
2024-01-01,novela,1,55
2024-01-08,comic,0,0
2024-01-08,cuentos,0,0
2024-01-08,manga,0,0
2024-01-08,novela,3,141
2024-01-15,comic,0,0
2024-01-15,cuentos,0,0
2024-01-15,manga,0,0
2024-01-15,novela,0,0
2024-01-22,comic,0,0
2024-01-22,cuentos,0,0
2024-01-22,manga,0,0
2024-01-22,novela,0,0
2024-01-29,comic,0,0
2024-01-29,cuentos,0,0
2024-01-29,manga,0,0
2024-01-29,novela,1,51
2024-02-05,comic,0,0
2024-02-05,cuentos,0,0
2024-02-05,manga,0,0
2024-02-05,novela,1,38
2024-02-12,comic,0,0
2024-02-12,cuentos,0,0
2024-02-12,manga,0,0
2024-02-12,novela,0,0
2024-02-19,comic,0,0
2024-02-19,cuentos,0,0
2024-02-19,manga,0,0
2024-02-19,novela,1,33
2024-02-26,comic,0,0
2024-02-26,cuentos,0,0
2024-02-26,manga,0,0
2024-02-26,novela,1,113
2024-03-04,comic,0,0
2024-03-04,cuentos,0,0
2024-03-04,manga,0,0
2024-03-04,novela,0,0
2024-03-11,comic,0,0
2024-03-11,cuentos,0,0
2024-03-11,manga,0,0
2024-03-11,novela,1,79
2024-03-18,comic,0,0
2024-03-18,cuentos,0,0
2024-03-18,manga,0,0
2024-03-18,novela,0,0
2024-03-25,comic,0,0
2024-03-25,cuentos,0,0
2024-03-25,manga,0,0
2024-03-25,novela,0,0
2024-04-01,comic,0,0
2024-04-01,cuentos,0,0
2024-04-01,manga,0,0
2024-04-01,novela,1,65
2024-04-08,comic,0,0
2024-04-08,cuentos,0,0
2024-04-08,manga,0,0
2024-04-08,novela,1,55
2024-04-15,comic,0,0
2024-04-15,cuentos,0,0
2024-04-15,manga,0,0
2024-04-15,novela,1,122
2024-04-22,comic,0,0
2024-04-22,cuentos,0,0
2024-04-22,manga,0,0
2024-04-22,novela,2,226
2024-04-29,comic,0,0
2024-04-29,cuentos,0,0
2024-04-29,manga,0,0
2024-04-29,novela,0,0
2024-05-06,comic,0,0
2024-05-06,cuentos,0,0
2024-05-06,manga,0,0
2024-05-06,novela,0,0
2024-05-13,comic,0,0
2024-05-13,cuentos,0,0
2024-05-13,manga,0,0
2024-05-13,novela,2,118
2024-05-20,comic,0,0
2024-05-20,cuentos,0,0
2024-05-20,manga,0,0
2024-05-20,novela,1,48
2024-05-27,comic,0,0
2024-05-27,cuentos,0,0
2024-05-27,manga,0,0
2024-05-27,novela,2,172
2024-06-03,comic,0,0
2024-06-03,cuentos,0,0
2024-06-03,manga,0,0
2024-06-03,novela,0,0
2024-06-10,comic,0,0
2024-06-10,cuentos,0,0
2024-06-10,manga,0,0
2024-06-10,novela,0,0
2024-06-17,comic,0,0
2024-06-17,cuentos,0,0
2024-06-17,manga,0,0
2024-06-17,novela,0,0
2024-06-24,comic,0,0
2024-06-24,cuentos,0,0
2024-06-24,manga,0,0
2024-06-24,novela,0,0
2024-07-01,comic,0,0
2024-07-01,cuentos,0,0
2024-07-01,manga,0,0
2024-07-01,novela,1,100
2024-07-08,comic,0,0
2024-07-08,cuentos,0,0
2024-07-08,manga,0,0
2024-07-08,novela,2,130
2024-07-15,comic,0,0
2024-07-15,cuentos,0,0
2024-07-15,manga,0,0
2024-07-15,novela,1,72
2024-07-22,comic,0,0
2024-07-22,cuentos,0,0
2024-07-22,manga,0,0
2024-07-22,novela,4,306
2024-07-29,comic,0,0
2024-07-29,cuentos,0,0
2024-07-29,manga,0,0
2024-07-29,novela,1,72
2024-08-05,comic,0,0
2024-08-05,cuentos,0,0
2024-08-05,manga,0,0
2024-08-05,novela,1,79
2024-08-12,comic,0,0
2024-08-12,cuentos,0,0
2024-08-12,manga,0,0
2024-08-12,novela,0,0
2024-08-19,comic,0,0
2024-08-19,cuentos,0,0
2024-08-19,manga,0,0
2024-08-19,novela,0,0
2024-08-26,comic,0,0
2024-08-26,cuentos,0,0
2024-08-26,manga,0,0
2024-08-26,novela,0,0
2024-09-02,comic,0,0
2024-09-02,cuentos,0,0
2024-09-02,manga,0,0
2024-09-02,novela,0,0
2024-09-09,comic,0,0
2024-09-09,cuentos,0,0
2024-09-09,manga,0,0
2024-09-09,novela,0,0
2024-09-16,comic,0,0
2024-09-16,cuentos,0,0
2024-09-16,manga,0,0
2024-09-16,novela,0,0
2024-09-23,comic,0,0
2024-09-23,cuentos,0,0
2024-09-23,manga,0,0
2024-09-23,novela,0,0
2024-09-30,comic,0,0
2024-09-30,cuentos,0,0
