mes,mes_nombre,hora,sesiones
1,enero,0,1
1,enero,1,3
1,enero,9,3
1,enero,17,1
1,enero,18,2
1,enero,19,1
1,enero,20,2
1,enero,21,1
1,enero,22,1
1,enero,23,2
2,febrero,1,2
2,febrero,23,1
3,marzo,1,1
3,marzo,18,1
3,marzo,21,1
3,marzo,22,1
4,abril,21,1
5,mayo,1,1
5,mayo,10,1
5,mayo,21,1
6,junio,1,1
6,junio,14,1
6,junio,20,2
6,junio,21,1
6,junio,23,1
7,julio,0,3
7,julio,19,1
7,julio,20,2
7,julio,21,1
7,julio,22,2
7,julio,23,3
9,septiembre,0,1
9,septiembre,18,1
10,octubre,1,1
10,octubre,18,1
11,noviembre,0,1
11,noviembre,1,1
11,noviembre,17,2
11,noviembre,21,2
11,noviembre,22,1
11,noviembre,23,3
12,diciembre,0,2
12,diciembre,17,1
12,diciembre,20,1
12,diciembre,22,1
